movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,duracion_horas
MOV-00001,B-008,MSC-GENOVA,R-05,MUELLE-B,TRIGO,MONTEVIDEO,2023-04-24,13:02,2023-04-24,00:00,3874.34,6.3,10,DESPACHADO,
MOV-00002,B-025,MAERSK-LIMA,R-06,MUELLE-C,HARINA,SANTA FE,2020-06-10,17:18,2020-06-12,07:05,1856.07,10.2,12,RECHAZADO,37.78333333333333
MOV-00003,B-011,ZIM-NORTE,R-04,MUELLE-B,MINERALES,ROTTERDAM,1900-01-01,21:20,2021-03-26,19:01,6711.61,11.7,15,EN_REVISION,
MOV-00005,B-017,ONE-PLATA,R-03,MUELLE-E,SOJA,VALPARAISO,2024-05-13,16:58,2024-05-13,02:16,6166.47,16.2,15,PENDIENTE,
MOV-00006,B-011,PIL-SANTA,R-07,MUELLE-B,TRIGO,VALPARAISO,2022-11-25,14:07,2022-11-27,00:00,6737.72,11.9,12,RECHAZADO,33.88333333333333
MOV-00007,B-031,ZIM-DELTA,R-08,MUELLE-D,TRIGO,BUENOS AIRES,2022-08-14,23:03,2022-08-15,02:13,4392.55,9.6,12,,3.1666666666666665
MOV-00008,B-006,ZIM-DELTA,R-03,MUELLE-D,MINERALES,HAMBURG,2022-02-15,00:24,2022-02-16,23:15,6707.83,7.1,10,PENDIENTE,46.85
MOV-00010,B-037,MAERSK-LIMA,R-02,MUELLE-E,TRIGO,VALPARAISO,2022-01-26,00:00,2022-01-28,13:30,7260.84,9.5,10,PENDIENTE,61.5
MOV-00012,B-023,ONE-PARANA,R-04,MUELLE-F,SOJA,SHANGHAI,1900-01-01,05:51,2024-11-06,01:51,6969.71,11.2,10,RECHAZADO,
MOV-00013,B-015,ZIM-DELTA,R-01,MUELLE-F,TRIGO,ROTTERDAM,2021-12-20,20:32,2021-12-23,05:43,4918.63,13.1,12,EN_REVISION,57.18333333333333
MOV-00014,B-003,MAERSK-PAMPAS,,MUELLE-E,TRIGO,SHANGHAI,2023-06-30,10:42,2023-07-01,19:13,6604.27,13.9,12,RECHAZADO,32.516666666666666
MOV-00015,B-038,YANG-ESTE,R-06,MUELLE-D,MINERALES,HAMBURG,2020-12-13,21:05,2020-12-15,00:00,2873.03,11.6,15,PENDIENTE,26.916666666666668
MOV-00016,B-032,COSCO-TIGRE,R-04,MUELLE-B,GRANOS,BUENOS AIRES,2022-11-26,14:03,2022-11-28,02:49,5421.5,17.3,15,RECHAZADO,36.766666666666666
MOV-00017,B-016,PIL-SANTA,R-08,MUELLE-F,TRIGO,VALPARAISO,2021-11-18,10:57,2021-11-19,00:00,5870.05,13.2,12,,13.05
MOV-00018,B-023,YANG-MING,R-07,MUELLE-D,TRIGO,HAMBURG,2021-11-19,21:43,2021-11-22,00:00,4801.28,15.4,12,PENDIENTE,50.28333333333333
MOV-00019,B-018,MAERSK-PAMPAS,R-05,MUELLE-A,MINERALES,SANTA FE,2020-05-20,20:02,2020-05-21,00:00,6113.77,12.0,15,DESPACHADO,3.966666666666667
MOV-00020,B-007,PIL-OESTE,R-01,MUELLE-C,CONTENEDORES,ROTTERDAM,2021-05-12,03:44,2021-05-13,00:00,6632.53,14.1,15,PENDIENTE,20.266666666666666
MOV-00021,B-028,HAPAG-RIO,R-05,MUELLE-E,MINERALES,HAMBURG,2024-10-10,07:53,2024-10-10,00:00,5736.56,8.4,12,RECHAZADO,
MOV-00022,B-016,MAERSK-PAMPAS,R-08,MUELLE-E,TRIGO,HAMBURG,2021-03-29,12:44,2021-03-30,10:52,4787.95,12.2,12,RECHAZADO,22.133333333333333
MOV-00023,B-031,PIL-SANTA,R-05,MUELLE-A,TRIGO,VALPARAISO,2022-12-29,04:17,2022-12-29,00:00,4346.69,14.0,15,PENDIENTE,
MOV-00024,B-004,CMA-ROSARIO,R-03,MUELLE-E,HARINA,BUENOS AIRES,2023-05-05,19:14,2023-05-08,00:00,6501.03,15.5,15,PENDIENTE,52.766666666666666
MOV-00025,B-039,HAPAG-SUR,R-05,MUELLE-A,TRIGO,VALPARAISO,2021-04-23,08:50,2021-04-24,19:23,4615.67,8.8,15,EN_REVISION,34.55
MOV-00026,B-006,YANG-ESTE,R-01,MUELLE-D,ACEITE,VALPARAISO,2023-04-17,00:48,2023-04-18,00:00,7576.43,16.2,15,DESPACHADO,23.2
MOV-00027,B-026,ZIM-NORTE,R-01,MUELLE-D,SOJA,SHANGHAI,2024-11-06,16:52,2024-11-06,19:10,3586.83,19.1,12,EN_REVISION,2.3
MOV-00028,B-011,YANG-MING,R-01,MUELLE-E,CONTENEDORES,BUENOS AIRES,2020-08-28,20:53,2020-08-29,18:36,7648.32,11.7,12,PENDIENTE,21.716666666666665
MOV-00029,B-033,PIL-SANTA,R-01,MUELLE-C,HARINA,HAMBURG,2023-02-04,17:24,2023-02-07,03:49,3696.06,13.1,12,PENDIENTE,58.416666666666664
MOV-00030,B-038,MSC-ALPHA,R-02,MUELLE-D,SOJA,HAMBURG,2020-11-12,02:30,2020-11-13,20:47,4787.64,9.0,15,DESPACHADO,42.28333333333333
